Município;Dose;Total Doses Aplicadas
SALTO DE PIRAPORA;2° DOSE;37486
SALTO;2° DOSE;103173
SALTINHO;2° DOSE;7251
SALMOURÃO;2° DOSE;4181
SALESÓPOLIS;2° DOSE;15191
SALES OLIVEIRA;2° DOSE;9961
SALES;2° DOSE;5632
SAGRES;2° DOSE;2072
SABINO;2° DOSE;4677
RUBINÉIA;2° DOSE;2981
RUBIÁCEA;2° DOSE;2534
ROSEIRA;2° DOSE;9026
ROSANA;2° DOSE;14613
RIVERSUL;2° DOSE;5296
RIOLÂNDIA;2° DOSE;9980
RIO GRANDE DA SERRA;2° DOSE;29118
RIO DAS PEDRAS;2° DOSE;26187
RIO CLARO;2° DOSE;171604
RINÓPOLIS;2° DOSE;7723
RINCÃO;2° DOSE;8235
RIFAINA;2° DOSE;3753
RIBEIRÃO PRETO;2° DOSE;562360
RIBEIRÃO PIRES;2° DOSE;97878
RIBEIRÃO GRANDE;2° DOSE;7202
RIBEIRÃO DOS ÍNDIOS;2° DOSE;1936
RIBEIRÃO DO SUL;2° DOSE;4185
RIBEIRÃO CORRENTE;2° DOSE;4139
RIBEIRÃO BRANCO;2° DOSE;16198
RIBEIRÃO BONITO;2° DOSE;10181
RIBEIRA;2° DOSE;3039
RESTINGA;2° DOSE;6182
REGISTRO;2° DOSE;51428
REGINÓPOLIS;2° DOSE;8567
REGENTE FEIJÓ;2° DOSE;17262
REDENÇÃO DA SERRA;2° DOSE;3623
RANCHARIA;2° DOSE;25645
RAFARD;2° DOSE;8000
QUINTANA;2° DOSE;5910
QUELUZ;2° DOSE;8003
QUEIROZ;2° DOSE;3002
QUATÁ;2° DOSE;11607
QUADRA;2° DOSE;3252
PROMISSÃO;2° DOSE;30263
PRESIDENTE VENCESLAU;2° DOSE;29901
PRESIDENTE PRUDENTE;2° DOSE;196778
PRESIDENTE EPITÁCIO;2° DOSE;33002
PRESIDENTE BERNARDES;2° DOSE;13546
PRESIDENTE ALVES;2° DOSE;3500
PRATÂNIA;2° DOSE;4986
PRAIA GRANDE;2° DOSE;279982
PRADÓPOLIS;2° DOSE;15570
PRACINHA;2° DOSE;2890
POTIRENDABA;2° DOSE;15051
POTIM;2° DOSE;19188
PORTO FERREIRA;2° DOSE;45797
PORTO FELIZ;2° DOSE;46859
PORANGABA;2° DOSE;8367
POPULINA;2° DOSE;3826
PONTES GESTAL;2° DOSE;2271
PONTALINDA;2° DOSE;3576
PONTAL;2° DOSE;33263
PONGAÍ;2° DOSE;3058
POMPÉIA;2° DOSE;17558
POLONI;2° DOSE;5379
POÁ;2° DOSE;92753
PLATINA;2° DOSE;2879
PLANALTO;2° DOSE;3991
PITANGUEIRAS;2° DOSE;29231
PIRATININGA;2° DOSE;12400
PIRASSUNUNGA;2° DOSE;61289
PIRAPOZINHO;2° DOSE;21365
PIRAPORA DO BOM JESUS;2° DOSE;15862
PIRANGI;2° DOSE;9429
PIRAJUÍ;2° DOSE;19057
PIRAJU;2° DOSE;25722
PIRACICABA;2° DOSE;348994
PIRACAIA;2° DOSE;24982
PIQUETE;2° DOSE;10989
PIQUEROBI;2° DOSE;2921
PINHALZINHO;2° DOSE;13532
PINDORAMA;2° DOSE;12631
PINDAMONHANGABA;2° DOSE;133770
PILAR DO SUL;2° DOSE;25448
PIEDADE;2° DOSE;47196
PIACATU;2° DOSE;4806
PERUÍBE;2° DOSE;63598
PEREIRAS;2° DOSE;7145
PEREIRA BARRETO;2° DOSE;20986
PENÁPOLIS;2° DOSE;51430
PEDRO DE TOLEDO;2° DOSE;8740
PEDRINHAS PAULISTA;2° DOSE;2638
PEDREIRA;2° DOSE;38637
PEDREGULHO;2° DOSE;14075
PEDRANÓPOLIS;2° DOSE;2554
PEDRA BELA;2° DOSE;5889
PEDERNEIRAS;2° DOSE;37118
PAULO DE FARIA;2° DOSE;7556
PAULISTÂNIA;2° DOSE;1834
PAULÍNIA;2° DOSE;89893
PAULICÉIA;2° DOSE;6312
PATROCÍNIO PAULISTA;2° DOSE;12671
PARISI;2° DOSE;2407
PARIQUERA-AÇU;2° DOSE;17407
PARDINHO;2° DOSE;6156
PARAPUÃ;2° DOSE;9037
PARANAPUÃ;2° DOSE;3756
PARANAPANEMA;2° DOSE;17084
PARAÍSO;2° DOSE;5103
PARAIBUNA;2° DOSE;15098
PARAGUAÇU PAULISTA;2° DOSE;36400
PANORAMA;2° DOSE;12128
PALMITAL;2° DOSE;18735
PALMEIRA D'OESTE;2° DOSE;8230
PALMARES PAULISTA;2° DOSE;8334
PALESTINA;2° DOSE;9560
PACAEMBU;2° DOSE;13745
OUROESTE;2° DOSE;9052
OURO VERDE;2° DOSE;6575
OURINHOS;2° DOSE;88152
OSVALDO CRUZ;2° DOSE;27661
OSCAR BRESSANE;2° DOSE;2316
OSASCO;2° DOSE;620466
ORLÂNDIA;2° DOSE;33469
ORINDIÚVA;2° DOSE;5600
ORIENTE;2° DOSE;5457
ONDA VERDE;2° DOSE;4078
OLÍMPIA;2° DOSE;48586
ÓLEO;2° DOSE;2622
OCAUÇU;2° DOSE;3958
NUPORANGA;2° DOSE;6494
NOVO HORIZONTE;2° DOSE;33415
NOVAIS;2° DOSE;3622
NOVA ODESSA;2° DOSE;47701
NOVA LUZITÂNIA;2° DOSE;2545
NOVA INDEPENDÊNCIA;2° DOSE;4962
NOVA GUATAPORANGA;2° DOSE;2040
NOVA GRANADA;2° DOSE;17380
NOVA EUROPA;2° DOSE;8281
NOVA CASTILHO;2° DOSE;1009
NOVA CANAÃ PAULISTA;2° DOSE;1802
NOVA CAMPINA;2° DOSE;8001
NOVA ALIANÇA;2° DOSE;6154
NIPOÃ;2° DOSE;4185
NHANDEARA;2° DOSE;8955
NEVES PAULISTA;2° DOSE;8323
NAZARÉ PAULISTA;2° DOSE;15668
NATIVIDADE DA SERRA;2° DOSE;5776
NARANDIBA;2° DOSE;4880
NÃO INFORMADO;2° DOSE;127685
NANTES;2° DOSE;2426
MURUTINGA DO SUL;2° DOSE;3471
MOTUCA;2° DOSE;3742
MORUNGABA;2° DOSE;12453
MORRO AGUDO;2° DOSE;24050
MONTEIRO LOBATO;2° DOSE;3781
MONTE MOR;2° DOSE;52624
MONTE CASTELO;2° DOSE;3568
MONTE AZUL PAULISTA;2° DOSE;15927
MONTE APRAZÍVEL;2° DOSE;19319
MONTE ALTO;2° DOSE;41589
MONTE ALEGRE DO SUL;2° DOSE;6649
MONGAGUÁ;2° DOSE;49561
MONÇÕES;2° DOSE;1852
MOMBUCA;2° DOSE;3332
MOGI MIRIM;2° DOSE;80539
MOGI GUAÇU;2° DOSE;125468
MOGI DAS CRUZES;2° DOSE;363533
MOCOCA;2° DOSE;60150
MIRASSOLÂNDIA;2° DOSE;4472
MIRASSOL;2° DOSE;51510
MIRANTE DO PARANAPANEMA;2° DOSE;13664
MIRANDÓPOLIS;2° DOSE;24557
MIRACATU;2° DOSE;16388
MIRA ESTRELA;2° DOSE;2732
MINEIROS DO TIETÊ;2° DOSE;9952
MIGUELÓPOLIS;2° DOSE;16963
MESÓPOLIS;2° DOSE;1907
MERIDIANO;2° DOSE;3749
MENDONÇA;2° DOSE;5552
MAUÁ;2° DOSE;348013
MATÃO;2° DOSE;72085
MARTINÓPOLIS;2° DOSE;22478
MARINÓPOLIS;2° DOSE;1741
MARÍLIA;2° DOSE;197689
MARIÁPOLIS;2° DOSE;3150
MARAPOAMA;2° DOSE;2811
MARACAÍ;2° DOSE;11318
MARABÁ PAULISTA;2° DOSE;4499
MANDURI;2° DOSE;8776
MAIRIPORÃ;2° DOSE;76488
MAIRINQUE;2° DOSE;45900
MAGDA;2° DOSE;2832
MACEDÔNIA;2° DOSE;3487
MACAUBAL;2° DOSE;6643
MACATUBA;2° DOSE;14159
LUTÉCIA;2° DOSE;2347
LUPÉRCIO;2° DOSE;3583
LUIZIÂNIA;2° DOSE;4340
LUÍS ANTÔNIO;2° DOSE;10661
LUCIANÓPOLIS;2° DOSE;2322
LUCÉLIA;2° DOSE;17726
LOUVEIRA;2° DOSE;44459
LOURDES;2° DOSE;2012
LORENA;2° DOSE;68421
LINS;2° DOSE;63917
LINDÓIA;2° DOSE;6180
LIMEIRA;2° DOSE;238820
LENÇÓIS PAULISTA;2° DOSE;55169
LEME;2° DOSE;83897
LAVRINHAS;2° DOSE;5309
LAVÍNIA;2° DOSE;10471
LARANJAL PAULISTA;2° DOSE;24527
LAGOINHA;2° DOSE;4998
JUQUITIBA;2° DOSE;26245
JUQUIÁ;2° DOSE;14796
JUNQUEIRÓPOLIS;2° DOSE;17868
JUNDIAÍ;2° DOSE;375721
JUMIRIM;2° DOSE;3076
JÚLIO MESQUITA;2° DOSE;3814
JOSÉ BONIFÁCIO;2° DOSE;31080
JOÃO RAMALHO;2° DOSE;3772
JOANÓPOLIS;2° DOSE;11513
JERIQUARA;2° DOSE;3158
JAÚ;2° DOSE;110959
JARINU;2° DOSE;29375
JARDINÓPOLIS;2° DOSE;36803
JANDIRA;2° DOSE;97134
JAMBEIRO;2° DOSE;5129
JALES;2° DOSE;41564
JAGUARIÚNA;2° DOSE;51210
JACUPIRANGA;2° DOSE;13101
JACI;2° DOSE;6899
JACAREÍ;2° DOSE;194077
JABOTICABAL;2° DOSE;63308
JABORANDI;2° DOSE;5479
ITUVERAVA;2° DOSE;32248
ITUPEVA;2° DOSE;55971
ITU;2° DOSE;150574
ITOBI;2° DOSE;6616
ITIRAPUÃ;2° DOSE;5311
ITIRAPINA;2° DOSE;14811
ITATINGA;2° DOSE;16845
ITATIBA;2° DOSE;99119
ITARIRI;2° DOSE;12336
ITARARÉ;2° DOSE;39925
ITAQUAQUECETUBA;2° DOSE;287677
ITAPURA;2° DOSE;3508
ITAPUÍ;2° DOSE;11236
ITAPORANGA;2° DOSE;12915
ITÁPOLIS;2° DOSE;33813
ITAPIRAPUÃ PAULISTA;2° DOSE;3953
ITAPIRA;2° DOSE;63470
ITAPEVI;2° DOSE;188042
ITAPEVA;2° DOSE;80819
ITAPETININGA;2° DOSE;131496
ITAPECERICA DA SERRA;2° DOSE;134497
ITAOCA;2° DOSE;3229
ITANHAÉM;2° DOSE;95093
ITAJU;2° DOSE;2965
ITAJOBI;2° DOSE;14267
ITAÍ;2° DOSE;23330
ITABERÁ;2° DOSE;16456
IRAPURU;2° DOSE;6940
IRAPUÃ;2° DOSE;6145
IRACEMÁPOLIS;2° DOSE;18914
IPUÃ;2° DOSE;12620
IPORANGA;2° DOSE;3409
IPIGUÁ;2° DOSE;5161
IPEÚNA;2° DOSE;5451
IPERÓ;2° DOSE;28284
IPAUSSU;2° DOSE;11472
INÚBIA PAULISTA;2° DOSE;3265
INDIAPORÃ;2° DOSE;3711
INDIANA;2° DOSE;4249
INDAIATUBA;2° DOSE;226434
ILHABELA;2° DOSE;33808
ILHA SOLTEIRA;2° DOSE;23072
ILHA COMPRIDA;2° DOSE;11571
IGUAPE;2° DOSE;25077
IGARATÁ;2° DOSE;9826
IGARAPAVA;2° DOSE;22529
IGARAÇU DO TIETÊ;2° DOSE;19876
IEPÊ;2° DOSE;6945
ICÉM;2° DOSE;6814
IBIÚNA;2° DOSE;65287
IBITINGA;2° DOSE;49167
IBIRAREMA;2° DOSE;5770
IBIRÁ;2° DOSE;10302
IBATÉ;2° DOSE;28566
IARAS;2° DOSE;7956
IACRI;2° DOSE;5554
IACANGA;2° DOSE;9600
HORTOLÂNDIA;2° DOSE;193951
HOLAMBRA;2° DOSE;14005
HERCULÂNDIA;2° DOSE;7153
GUZOLÂNDIA;2° DOSE;4006
GUATAPARÁ;2° DOSE;6746
GUARULHOS;2° DOSE;1089666
GUARUJÁ;2° DOSE;245129
GUARIBA;2° DOSE;32631
GUAREÍ;2° DOSE;13409
GUARATINGUETÁ;2° DOSE;98868
GUARAREMA;2° DOSE;27880
GUARARAPES;2° DOSE;26673
GUARANTÃ;2° DOSE;5416
GUARANI D'OESTE;2° DOSE;1855
GUARACI;2° DOSE;9014
GUARAÇAÍ;2° DOSE;6666
GUARÁ;2° DOSE;16376
GUAPIARA;2° DOSE;15436
GUAPIAÇU;2° DOSE;18345
GUAÍRA;2° DOSE;35181
GUAIMBÊ;2° DOSE;4784
GUAIÇARA;2° DOSE;9843
GLICÉRIO;2° DOSE;3786
GETULINA;2° DOSE;9192
GENERAL SALGADO;2° DOSE;8941
GAVIÃO PEIXOTO;2° DOSE;4300
GASTÃO VIDIGAL;2° DOSE;3057
GARÇA;2° DOSE;35826
GÁLIA;2° DOSE;5993
GABRIEL MONTEIRO;2° DOSE;2532
FRANCO DA ROCHA;2° DOSE;129849
FRANCISCO MORATO;2° DOSE;142510
FRANCA;2° DOSE;286389
FLORÍNEA;2° DOSE;4133
FLÓRIDA PAULISTA;2° DOSE;10656
FLOREAL;2° DOSE;2625
FLORA RICA;2° DOSE;1384
FERRAZ DE VASCONCELOS;2° DOSE;135236
FERNÃO;2° DOSE;1586
FERNANDÓPOLIS;2° DOSE;62172
FERNANDO PRESTES;2° DOSE;5402
FARTURA;2° DOSE;14017
EUCLIDES DA CUNHA PAULISTA;2° DOSE;6740
ESTRELA DO NORTE;2° DOSE;2459
ESTRELA D'OESTE;2° DOSE;7776
ESTIVA GERBI;2° DOSE;9047
ESPÍRITO SANTO DO TURVO;2° DOSE;4243
ESPÍRITO SANTO DO PINHAL;2° DOSE;35782
ENGENHEIRO COELHO;2° DOSE;16421
EMILIANÓPOLIS;2° DOSE;2714
EMBU-GUAÇU;2° DOSE;55817
EMBU DAS ARTES;2° DOSE;217087
EMBAÚBA;2° DOSE;2000
ELISIÁRIO;2° DOSE;2864
ELIAS FAUSTO;2° DOSE;15372
ELDORADO;2° DOSE;11182
ECHAPORÃ;2° DOSE;5602
DUMONT;2° DOSE;8761
DUARTINA;2° DOSE;11179
DRACENA;2° DOSE;38904
DOURADO;2° DOSE;7853
DOLCINÓPOLIS;2° DOSE;2214
DOIS CÓRREGOS;2° DOSE;21247
DOBRADA;2° DOSE;7268
DIVINOLÂNDIA;2° DOSE;10839
DIRCE REIS;2° DOSE;1583
DIADEMA;2° DOSE;348578
DESCALVADO;2° DOSE;28698
CUNHA;2° DOSE;19026
CUBATÃO;2° DOSE;92354
CRUZEIRO;2° DOSE;65938
CRUZÁLIA;2° DOSE;1933
CRISTAIS PAULISTA;2° DOSE;7739
CRAVINHOS;2° DOSE;29355
COTIA;2° DOSE;211095
COSMORAMA;2° DOSE;7663
COSMÓPOLIS;2° DOSE;46762
CORUMBATAÍ;2° DOSE;3645
CORONEL MACEDO;2° DOSE;4239
COROADOS;2° DOSE;4731
CORDEIRÓPOLIS;2° DOSE;21473
CONCHAS;2° DOSE;14003
CONCHAL;2° DOSE;23866
COLÔMBIA;2° DOSE;6039
COLINA;2° DOSE;15450
CLEMENTINA;2° DOSE;6193
CHAVANTES;2° DOSE;10435
CHARQUEADA;2° DOSE;14085
CESÁRIO LANGE;2° DOSE;15712
CERQUILHO;2° DOSE;40022
CERQUEIRA CÉSAR;2° DOSE;20464
CEDRAL;2° DOSE;9069
CATIGUÁ;2° DOSE;6466
CATANDUVA;2° DOSE;99423
CASTILHO;2° DOSE;16919
CÁSSIA DOS COQUEIROS;2° DOSE;2499
CASA BRANCA;2° DOSE;24149
CARDOSO;2° DOSE;10547
CARAPICUÍBA;2° DOSE;331196
CARAGUATATUBA;2° DOSE;106182
CAPIVARI;2° DOSE;43408
CAPELA DO ALTO;2° DOSE;20160
CAPÃO BONITO;2° DOSE;40349
CANITAR;2° DOSE;4506
CÂNDIDO RODRIGUES;2° DOSE;2653
CÂNDIDO MOTA;2° DOSE;25426
CANAS;2° DOSE;3735
CANANÉIA;2° DOSE;11105
CAMPOS NOVOS PAULISTA;2° DOSE;4165
CAMPOS DO JORDÃO;2° DOSE;45026
CAMPO LIMPO PAULISTA;2° DOSE;66055
CAMPINAS;2° DOSE;1005181
CAMPINA DO MONTE ALEGRE;2° DOSE;5535
CAJURU;2° DOSE;20234
CAJOBI;2° DOSE;8266
CAJATI;2° DOSE;24294
CAJAMAR;2° DOSE;80606
CAIUÁ;2° DOSE;6604
CAIEIRAS;2° DOSE;80734
CAIABU;2° DOSE;3291
CAFELÂNDIA;2° DOSE;14074
CACONDE;2° DOSE;15396
CACHOEIRA PAULISTA;2° DOSE;25125
CAÇAPAVA;2° DOSE;78556
CABREÚVA;2° DOSE;42853
CABRÁLIA PAULISTA;2° DOSE;3831
BURITIZAL;2° DOSE;3538
BURITAMA;2° DOSE;14856
BURI;2° DOSE;17248
BROTAS;2° DOSE;20468
BRODOWSKI;2° DOSE;21166
BREJO ALEGRE;2° DOSE;2295
BRAÚNA;2° DOSE;4568
BRAGANÇA PAULISTA;2° DOSE;154770
BOTUCATU;2° DOSE;143929
BOREBI;2° DOSE;2260
BORBOREMA;2° DOSE;13007
BORACÉIA;2° DOSE;4129
BORÁ;2° DOSE;854
BOM SUCESSO DE ITARARÉ;2° DOSE;3406
BOM JESUS DOS PERDÕES;2° DOSE;20717
BOITUVA;2° DOSE;50417
BOFETE;2° DOSE;9160
BOCAINA;2° DOSE;9957
BOA ESPERANÇA DO SUL;2° DOSE;11686
BIRITIBA MIRIM;2° DOSE;25564
BIRIGUI;2° DOSE;96821
BILAC;2° DOSE;6540
BERTIOGA;2° DOSE;56718
BERNARDINO DE CAMPOS;2° DOSE;10768
BENTO DE ABREU;2° DOSE;2275
BEBEDOURO;2° DOSE;65391
BAURU;2° DOSE;317592
BATATAIS;2° DOSE;51484
BASTOS;2° DOSE;19656
BARUERI;2° DOSE;251987
BARRINHA;2° DOSE;25718
BARRETOS;2° DOSE;106631
BARRA DO TURVO;2° DOSE;6188
BARRA DO CHAPÉU;2° DOSE;4838
BARRA BONITA;2° DOSE;31036
BARIRI;2° DOSE;26030
BARBOSA;2° DOSE;5429
BARÃO DE ANTONINA;2° DOSE;3198
BANANAL;2° DOSE;8665
BÁLSAMO;2° DOSE;8177
BALBINOS;2° DOSE;4612
BADY BASSITT;2° DOSE;18055
AVARÉ;2° DOSE;79454
AVANHANDAVA;2° DOSE;10038
AVAÍ;2° DOSE;4660
AURIFLAMA;2° DOSE;11431
ATIBAIA;2° DOSE;130941
ASSIS;2° DOSE;84631
ASPÁSIA;2° DOSE;1691
ARUJÁ;2° DOSE;74076
ARTUR NOGUEIRA;2° DOSE;43619
ARIRANHA;2° DOSE;7035
AREIÓPOLIS;2° DOSE;8345
AREIAS;2° DOSE;3305
AREALVA;2° DOSE;7256
ARCO-ÍRIS;2° DOSE;1891
ARARAS;2° DOSE;112146
ARARAQUARA;2° DOSE;207352
ARAPEÍ;2° DOSE;2209
ARANDU;2° DOSE;5829
ARAMINA;2° DOSE;4869
ARAÇOIABA DA SERRA;2° DOSE;27995
ARAÇATUBA;2° DOSE;167865
ARAÇARIGUAMA;2° DOSE;18450
APIAÍ;2° DOSE;20705
APARECIDA D'OESTE;2° DOSE;3987
APARECIDA;2° DOSE;28254
ANHUMAS;2° DOSE;3556
ANHEMBI;2° DOSE;5397
ANGATUBA;2° DOSE;19620
ANDRADINA;2° DOSE;48827
ANALÂNDIA;2° DOSE;3829
AMPARO;2° DOSE;62212
AMÉRICO DE CAMPOS;2° DOSE;5166
AMÉRICO BRASILIENSE;2° DOSE;29924
AMERICANA;2° DOSE;190643
ALVINLÂNDIA;2° DOSE;2634
ÁLVARO DE CARVALHO;2° DOSE;5721
ÁLVARES MACHADO;2° DOSE;20750
ÁLVARES FLORENCE;2° DOSE;3598
ALUMÍNIO;2° DOSE;15229
ALTO ALEGRE;2° DOSE;3512
ALTINÓPOLIS;2° DOSE;14612
ALTAIR;2° DOSE;3168
ALFREDO MARCONDES;2° DOSE;4190
ALAMBARI;2° DOSE;4965
AGUDOS;2° DOSE;32610
ÁGUAS DE SÃO PEDRO;2° DOSE;3745
ÁGUAS DE SANTA BÁRBARA;2° DOSE;5506
ÁGUAS DE LINDÓIA;2° DOSE;16565
ÁGUAS DA PRATA;2° DOSE;6968
AGUAÍ;2° DOSE;28903
ADOLFO;2° DOSE;4095
ADAMANTINA;2° DOSE;30210
ZACARIAS;1° DOSE;2335
VOTUPORANGA;1° DOSE;88150
VOTORANTIM;1° DOSE;98434
VITÓRIA BRASIL;1° DOSE;1726
VISTA ALEGRE DO ALTO;1° DOSE;7241
VIRADOURO;1° DOSE;16501
VINHEDO;1° DOSE;69299
VERA CRUZ;1° DOSE;9194
VÁRZEA PAULISTA;1° DOSE;100591
VARGEM GRANDE PAULISTA;1° DOSE;45816
VARGEM GRANDE DO SUL;1° DOSE;37949
VARGEM;1° DOSE;9208
VALPARAÍSO;1° DOSE;22215
VALINHOS;1° DOSE;111816
VALENTIM GENTIL;1° DOSE;12577
URUPÊS;1° DOSE;12453
URU;1° DOSE;1316
URÂNIA;1° DOSE;7942
UNIÃO PAULISTA;1° DOSE;1547
UCHOA;1° DOSE;8968
UBIRAJARA;1° DOSE;4850
UBATUBA;1° DOSE;87586
UBARANA;1° DOSE;5144
TURMALINA;1° DOSE;1814
TURIÚBA;1° DOSE;1773
TUPI PAULISTA;1° DOSE;14978
TUPÃ;1° DOSE;58502
TUIUTI;1° DOSE;6083
TRÊS FRONTEIRAS;1° DOSE;5886
TREMEMBÉ;1° DOSE;44961
TRABIJU;1° DOSE;1630
TORRINHA;1° DOSE;8718
TORRE DE PEDRA;1° DOSE;2585
TIMBURI;1° DOSE;2507
TIETÊ;1° DOSE;34610
TERRA ROXA;1° DOSE;7231
TEODORO SAMPAIO;1° DOSE;20487
TEJUPÁ;1° DOSE;4043
TAUBATÉ;1° DOSE;276268
TATUÍ;1° DOSE;110894
TARUMÃ;1° DOSE;13342
TARABAI;1° DOSE;6335
TAQUARIVAÍ;1° DOSE;5714
TAQUARITUBA;1° DOSE;23399
TAQUARITINGA;1° DOSE;48674
TAQUARAL;1° DOSE;2513
TAPIRATIBA;1° DOSE;11581
TAPIRAÍ;1° DOSE;7575
TANABI;1° DOSE;23312
TAMBAÚ;1° DOSE;19481
TAIÚVA;1° DOSE;6040
TAIAÇU;1° DOSE;5311
TAGUAÍ;1° DOSE;11811
TACIBA;1° DOSE;5489
TABOÃO DA SERRA;1° DOSE;249462
TABATINGA;1° DOSE;13262
TABAPUÃ;1° DOSE;10590
SUZANO;1° DOSE;269745
SUZANÁPOLIS;1° DOSE;3189
SUMARÉ;1° DOSE;251780
SUD MENNUCCI;1° DOSE;6863
SOROCABA;1° DOSE;649351
SOCORRO;1° DOSE;36867
SILVEIRAS;1° DOSE;5803
SEVERÍNIA;1° DOSE;13613
SETE BARRAS;1° DOSE;11870
SERTÃOZINHO;1° DOSE;112993
SERRANA;1° DOSE;45308
SERRA NEGRA;1° DOSE;26221
SERRA AZUL;1° DOSE;13121
SEBASTIANÓPOLIS DO SUL;1° DOSE;3186
SARUTAIÁ;1° DOSE;3502
SARAPUÍ;1° DOSE;9437
SÃO VICENTE;1° DOSE;309789
SÃO SIMÃO;1° DOSE;12839
SÃO SEBASTIÃO DA GRAMA;1° DOSE;9836
SÃO SEBASTIÃO;1° DOSE;82127
SÃO ROQUE;1° DOSE;80399
SÃO PEDRO DO TURVO;1° DOSE;6709
SÃO PEDRO;1° DOSE;33444
SÃO PAULO;1° DOSE;11753743
SÃO MIGUEL ARCANJO;1° DOSE;29759
SÃO MANUEL;1° DOSE;33379
SÃO LUIZ DO PARAITINGA;1° DOSE;10291
SÃO LOURENÇO DA SERRA;1° DOSE;14060
SÃO JOSÉ DOS CAMPOS;1° DOSE;641286
SÃO JOSÉ DO RIO PRETO;1° DOSE;435249
SÃO JOSÉ DO RIO PARDO;1° DOSE;49672
SÃO JOSÉ DO BARREIRO;1° DOSE;3760
SÃO JOSÉ DA BELA VISTA;1° DOSE;6845
SÃO JOAQUIM DA BARRA;1° DOSE;43136
SÃO JOÃO DO PAU D'ALHO;1° DOSE;2073
SÃO JOÃO DE IRACEMA;1° DOSE;1736
SÃO JOÃO DAS DUAS PONTES;1° DOSE;2332
SÃO JOÃO DA BOA VISTA;1° DOSE;85060
SÃO FRANCISCO;1° DOSE;2579
SÃO CARLOS;1° DOSE;232600
SÃO CAETANO DO SUL;1° DOSE;146818
SÃO BERNARDO DO CAMPO;1° DOSE;731021
SÃO BENTO DO SAPUCAÍ;1° DOSE;10878
SANTOS;1° DOSE;409034
SANTÓPOLIS DO AGUAPEÍ;1° DOSE;3466
SANTO EXPEDITO;1° DOSE;2783
SANTO ANTÔNIO DO PINHAL;1° DOSE;6707
SANTO ANTÔNIO DO JARDIM;1° DOSE;5621
SANTO ANTÔNIO DO ARACANGUÁ;1° DOSE;7280
SANTO ANTÔNIO DE POSSE;1° DOSE;21292
SANTO ANTÔNIO DA ALEGRIA;1° DOSE;6591
SANTO ANDRÉ;1° DOSE;641304
SANTO ANASTÁCIO;1° DOSE;16761
SANTANA DE PARNAÍBA;1° DOSE;139966
SANTANA DA PONTE PENSA;1° DOSE;1434
SANTA SALETE;1° DOSE;1585
SANTA ROSA DE VITERBO;1° DOSE;22216
SANTA RITA DO PASSA QUATRO;1° DOSE;24128
SANTA RITA D'OESTE;1° DOSE;2490
SANTA MERCEDES;1° DOSE;2905
SANTA MARIA DA SERRA;1° DOSE;5176
SANTA LÚCIA;1° DOSE;6855
SANTA ISABEL;1° DOSE;50339
SANTA GERTRUDES;1° DOSE;21204
SANTA FÉ DO SUL;1° DOSE;31807
SANTA ERNESTINA;1° DOSE;5363
SANTA CRUZ DO RIO PARDO;1° DOSE;43199
SANTA CRUZ DAS PALMEIRAS;1° DOSE;26536
SANTA CRUZ DA ESPERANÇA;1° DOSE;1962
SANTA CRUZ DA CONCEIÇÃO;1° DOSE;4063
SANTA CLARA D'OESTE;1° DOSE;2254
SANTA BRANCA;1° DOSE;12434
SANTA BÁRBARA D'OESTE;1° DOSE;162042
SANTA ALBERTINA;1° DOSE;5730
SANTA ADÉLIA;1° DOSE;12827
SANDOVALINA;1° DOSE;3475
SALTO GRANDE;1° DOSE;7987
SALTO DE PIRAPORA;1° DOSE;39827
SALTO;1° DOSE;110597
SALTINHO;1° DOSE;7670
SALMOURÃO;1° DOSE;4391
SALESÓPOLIS;1° DOSE;15999
SALES OLIVEIRA;1° DOSE;10259
SALES;1° DOSE;5779
SAGRES;1° DOSE;2229
SABINO;1° DOSE;4969
RUBINÉIA;1° DOSE;3168
RUBIÁCEA;1° DOSE;2677
ROSEIRA;1° DOSE;9472
ROSANA;1° DOSE;15621
RIVERSUL;1° DOSE;5388
RIOLÂNDIA;1° DOSE;10648
RIO GRANDE DA SERRA;1° DOSE;37749
RIO DAS PEDRAS;1° DOSE;28181
RIO CLARO;1° DOSE;185238
RINÓPOLIS;1° DOSE;8242
RINCÃO;1° DOSE;8543
RIFAINA;1° DOSE;3926
RIBEIRÃO PRETO;1° DOSE;607893
RIBEIRÃO PIRES;1° DOSE;104345
RIBEIRÃO GRANDE;1° DOSE;7419
RIBEIRÃO DOS ÍNDIOS;1° DOSE;1980
RIBEIRÃO DO SUL;1° DOSE;4297
RIBEIRÃO CORRENTE;1° DOSE;4480
RIBEIRÃO BRANCO;1° DOSE;16767
RIBEIRÃO BONITO;1° DOSE;10664
RIBEIRA;1° DOSE;3209
RESTINGA;1° DOSE;6570
REGISTRO;1° DOSE;55746
REGINÓPOLIS;1° DOSE;8749
REGENTE FEIJÓ;1° DOSE;18099
REDENÇÃO DA SERRA;1° DOSE;3819
RANCHARIA;1° DOSE;26810
RAFARD;1° DOSE;8452
QUINTANA;1° DOSE;6080
QUELUZ;1° DOSE;8947
QUEIROZ;1° DOSE;3173
QUATÁ;1° DOSE;12144
QUADRA;1° DOSE;3516
PROMISSÃO;1° DOSE;31752
PRESIDENTE VENCESLAU;1° DOSE;32007
PRESIDENTE PRUDENTE;1° DOSE;208185
